"initial_alias","converted_alias","name","description","namespace"
"YKL059C","P35728","MPE1","Essential conserved subunit of CPF cleavage and polyadenylation factor; plays a role in 3' end formation of mRNA via the specific cleavage and polyadenylation of pre-mRNA; contains a ubiquitin-like (UBL) domain, a RNA-binding zinc knuckle motif and a RING finger domain; both the zinc knuckle and RING finger are required for pre-mRNA binding; possible role in ubiquitination of Pap1p; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000001542]","ENSG,ENSP"
"YOR336W","P22023","KRE5","Protein required for beta-1,6 glucan biosynthesis; mutations result in aberrant morphology and severe growth defects [Source:SGD;Acc:S000005863]","ENSG,ENSP"
"YKL033W","P36097","TTI1","Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1; similar to S. pombe Tti1p; detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000001516]","ENSG,ENSP"
"YOR095C","Q12189","RKI1","Ribose-5-phosphate ketol-isomerase; catalyzes the interconversion of ribose 5-phosphate and ribulose 5-phosphate in the pentose phosphate pathway; participates in pyridoxine biosynthesis [Source:SGD;Acc:S000005621]","ENSG,ENSP"
"YOR335C","None","None","None",""
"YDR071C","Q12447","PAA1","Polyamine acetyltransferase; acetylates polyamines (e.g. putrescine, spermidine, spermine) and also aralkylamines (e.g. tryptamine, phenylethylamine); may be involved in transcription and/or DNA replication [Source:SGD;Acc:S000002478]","ENSG,ENSP"
"YER031C","P38555","YPT31","Rab family GTPase; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi; YPT31 has a paralog, YPT32, that arose from the whole genome duplication; localizes to the transitional and late Golgi [Source:SGD;Acc:S000000833]","ENSG,ENSP"
"YPL077C","Q02831","YPL077C","Putative protein of unknown function; regulates PIS1 expression; mutant displays spore wall assembly defect in ether sensitivity screen; YPL077C is not an essential gene; YPL077C has a paralog, YBR197C, that arose from the whole genome duplication [Source:SGD;Acc:S000005998]","ENSG,ENSP"
"YMR164C","Q03825","MSS11","Transcription factor; involved in regulation of invasive growth and starch degradation; controls the activation of FLO11 and STA2 in response to nutritional signals; forms a heterodimer with Flo8p that interacts with the Swi/Snf complex during transcriptional activation of FLO1, FLO11, and STA1 [Source:SGD;Acc:S000004774]","ENSG,ENSP"
"YOR353C","Q08817","SOG2","Key component of the RAM signaling network; required for proper cell morphogenesis and cell separation after mitosis [Source:SGD;Acc:S000005880]","ENSG,ENSP"
"YOL067C","P32607","RTG1","Transcription factor (bHLH) involved in interorganelle communication; contributes to communication between mitochondria, peroxisomes, and nucleus; target of Hog1p; activated in stochastic pulses of nuclear localization [Source:SGD;Acc:S000005428]","ENSG,ENSP"
"YKL214C","P36036","YRA2","Member of the REF (RNA and export factor binding proteins) family; when overexpressed, can substitute for the function of Yra1p in export of poly(A)+ mRNA from the nucleus [Source:SGD;Acc:S000001697]","ENSG,ENSP"
"YLR314C","P32457","CDC3","Component of the septin ring that is required for cytokinesis; septins are GTP-binding proteins that assemble with other septins into rod-like complexes that can associate with other rods to form filament polymers; septin rings at the mother-bud neck act as scaffolds for recruiting factors needed for cell division and as barriers to prevent diffusion of specific proteins between mother and daughter cells [Source:SGD;Acc:S000004306]","ENSG,ENSP"
"YDL199C","Q12407","YDL199C","Putative transporter; member of the sugar porter family [Source:SGD;Acc:S000002358]","ENSG,ENSP"
"YOL007C","Q08054","CSI2","Protein of unknown function; green fluorescent protein (GFP)- fusion protein localizes to the mother side of the bud neck and the vacuole; YOL007C is not an essential gene [Source:SGD;Acc:S000005367]","ENSG,ENSP"
"YMR131C","Q04225","RRB1","Specific chaperone for ribosomal protein Rpl3p; binds to nascent Rpl3p during translation; essential gene [Source:SGD;Acc:S000004738]","ENSG,ENSP"
"YGL179C","P43637","TOS3","Protein kinase; related to and functionally redundant with Elm1p and Sak1p for the phosphorylation and activation of Snf1p; functionally orthologous to LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; TOS3 has a paralog, SAK1, that arose from the whole genome duplication [Source:SGD;Acc:S000003147]","ENSG,ENSP"
"YGR282C","P15703","BGL2","Endo-beta-1,3-glucanase; major protein of the cell wall, involved in cell wall maintenance; involved in incorporation of newly synthesized mannoprotein molecules into the cell wall [Source:SGD;Acc:S000003514]","ENSG,ENSP"
"YOR264W","Q08729","DSE3","Daughter cell-specific protein, may help establish daughter fate; relocalizes from bud neck to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000005790]","ENSG,ENSP"
"YPR023C","Q12432","EAF3","Component of the Rpd3S histone deacetylase complex; Esa1p-associated factor, nonessential component of the NuA4 acetyltransferase complex, homologous to Drosophila dosage compensation protein MSL3; plays a role in regulating Ty1 transposition [Source:SGD;Acc:S000006227]","ENSG,ENSP"
"YPR199C","Q06596","ARR1","Transcriptional activator of the basic leucine zipper (bZIP) family; required for transcription of genes involved in resistance to arsenic compounds; directly binds trivalent arsenic (As(III)) as does K. lactis ortholog, KIYAP8 [Source:SGD;Acc:S000006403]","ENSG,ENSP"
"YDL235C","Q07688","YPD1","Osmotic stress-responsive phosphorelay intermediate sensor protein; phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus [Source:SGD;Acc:S000002394]","ENSG,ENSP"
"YJL111W","P42943","CCT7","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo; mutant has increased aneuploidy tolerance [Source:SGD;Acc:S000003647]","ENSG,ENSP"
"YOL075C","Q08234","YOL075C","Putative ABC transporter [Source:SGD;Acc:S000005435]","ENSG,ENSP"
"YIL108W","P40483","YIL108W","Putative metalloendopeptidase; forms cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000001370]","ENSG,ENSP"
"YKR099W","P22035","BAS1","Myb-related transcription factor; involved in regulating basal and induced expression of genes of the purine and histidine biosynthesis pathways; also involved in regulation of meiotic recombination at specific genes [Source:SGD;Acc:S000001807]","ENSG,ENSP"
"YNL220W","P80210","ADE12","Adenylosuccinate synthase; catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence [Source:SGD;Acc:S000005164]","ENSG,ENSP"
"YDR362C","Q06339","TFC6","Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of TFIIIC TauB domain that binds BoxB promoter sites of tRNA and other genes; cooperates with Tfc3p in DNA binding; human homolog is TFIIIC-110 [Source:SGD;Acc:S000002770]","ENSG,ENSP"
"YLR113W","P32485","HOG1","Mitogen-activated protein kinase involved in osmoregulation; controls global reallocation of RNAPII during osmotic shock; mediates recruitment/activation of RNAPII at Hot1p-dependent promoters; binds calmodulin; stimulates antisense transcription to activate CDC28; defines novel S-phase checkpoint with Mrc1p that prevent replication/transcription conflicts; nuclear form represses pseudohyphal growth; autophosphorylates; protein abundance increases under DNA replication stress [Source:SGD;Acc:S000004103]","ENSG,ENSP"
"YMR317W","Q04893","YMR317W","Putative protein of unknown function; has some similarity to sialidase from Trypanosoma; YMR317W is not an essential gene [Source:SGD;Acc:S000004936]","ENSG,ENSP"
"YML099C","P05085","ARG81","Zinc finger transcription factor involved in arginine-responsive genes; Zn(2)-Cys(6) binuclear cluster domain type; involved in the regulation of arginine-responsive genes; acts with Arg80p and Arg82p [Source:SGD;Acc:S000004565]","ENSG,ENSP"
"YML103C","P52593","NUP188","Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188 [Source:SGD;Acc:S000004571]","ENSG,ENSP"
"YFR048W","P43620","RMD8","Cytosolic protein required for sporulation [Source:SGD;Acc:S000001944]","ENSG,ENSP"
"YDR361C","Q06338","BCP1","Essential protein involved in nuclear export of Mss4p; Mss4p is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport [Source:SGD;Acc:S000002769]","ENSG,ENSP"
"YDL156W","Q12510","CMR1","Nuclear protein with a role in protein quality control; localizes to the intranuclear quality control compartment (INQ) in response to proteasome inhibition or DNA replication stress; INQ likely sequesters proteins involved in DNA metabolism for degradation or re-folding; DNA-binding protein with preference for UV-damaged DNA; contains three WD domains (WD-40 repeat); human ortholog WDR76 also exhibits perinuclear localization under similar stress conditions [Source:SGD;Acc:S000002315]","ENSG,ENSP"
"YML069W","Q04636","POB3","Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000004534]","ENSG,ENSP"
"YGR202C","P13259","PCT1","Cholinephosphate cytidylyltransferase; a rate-determining enzyme of the CDP-choline pathway for phosphatidylcholine synthesis, inhibited by Sec14p, activated upon lipid-binding; contains an element within the regulatory domain involved in both silencing and activation of enzymatic activity [Source:SGD;Acc:S000003434]","ENSG,ENSP"
"YNL085W","P40850","MKT1","Protein similar to nucleases that forms a complex with Pbp1p; complex may mediate posttranscriptional regulation of HO; involved in propagation of M2 dsRNA satellite of L-A virus; allelic variation affects mitochondrial genome stability, drug resistance, and more; forms cytoplasmic foci upon DNA replication stress; localization to P-bodies under ethanol stress differs between strains [Source:SGD;Acc:S000005029]","ENSG,ENSP"
"YAL038W","P00549","CDC19","Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication [Source:SGD;Acc:S000000036]","ENSG,ENSP"
"YKL112W","P14164","ABF1","DNA binding protein with possible chromatin-reorganizing activity; involved in transcriptional activation, gene silencing, and DNA replication and repair [Source:SGD;Acc:S000001595]","ENSG,ENSP"
"YNL314W","P21705","DAL82","Positive regulator of allophanate inducible genes; binds a dodecanucleotide sequence upstream of all genes that are induced by allophanate; contains an UISALL DNA-binding, a transcriptional activation, and a coiled-coil domain [Source:SGD;Acc:S000005258]","ENSG,ENSP"
"YGL071W","P22149","AFT1","Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000003039]","ENSG,ENSP"
"YPL250C","Q12048","ATG41","Protein of unknown function; required for selective and nonselective autophagy, and mitophagy; regulates the rate of autophagosome formation; interacts with Atg9p, and has a similar peri-mitochondrial localization; elevated Gcn4p-dependent expression under autophagy-inducing conditions; mobilized into polysomes upon a shift from a fermentable to nonfermentable carbon source; potential Cdc28p substrate; ATG41 has a paralog, ICY1, that arose from the whole genome duplication [Source:SGD;Acc:S000006171]","ENSG,ENSP"
"YBR233W","P38151","PBP2","RNA binding protein; has similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length; relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000000437]","ENSG,ENSP"
"YIR008C","P10363","PRI1","Subunit of DNA primase; DNA primase is required for DNA synthesis and double-strand break repair [Source:SGD;Acc:S000001447]","ENSG,ENSP"
"YLR411W","Q06686","CTR3","High-affinity copper transporter of the plasma membrane; acts as a trimer; gene is disrupted by a Ty2 transposon insertion in many laboratory strains of S. cerevisiae [Source:SGD;Acc:S000004403]","ENSG,ENSP"
"YER127W","P40079","LCP5","Essential protein involved in maturation of 18S rRNA; depletion leads to inhibited pre-rRNA processing and reduced polysome levels; localizes primarily to the nucleolus [Source:SGD;Acc:S000000929]","ENSG,ENSP"
"YCR032W","P25356","BPH1","Protein homologous to Chediak-Higashi syndrome and Beige proteins; both of which are implicated in disease syndromes in human and mouse, respectively, due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting [Source:SGD;Acc:S000000628]","ENSG,ENSP"
"YDL054C","Q07376","MCH1","Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport [Source:SGD;Acc:S000002212]","ENSG,ENSP"
"YOR208W","P29461","PTP2","Nuclear phosphotyrosine-specific phosphatase involved in osmosensing; involved in the inactivation of mitogen-activated protein kinase (MAPK) during osmolarity sensing; dephosporylates Hog1p MAPK and regulates its localization; with Msg5p co-regulates the calcium signaling pathway [Source:SGD;Acc:S000005734]","ENSG,ENSP"
"YHR009C","P38758","TDA3","Putative oxidoreductase involved in late endosome to Golgi transport; physical and genetical interactions with Btn2p; null mutant is viable, has extended S phase, and sensitive to expression of top1-T722A allele; similar to human FOXRED1 [Source:SGD;Acc:S000001051]","ENSG,ENSP"
"YDL084W","Q07478","SUB2","Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56; relocalizes from nucleus to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000002242]","ENSG,ENSP"
"YBL075C","P09435","SSA3","ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm; SSA3 has a paralog, SSA4, that arose from the whole genome duplication [Source:SGD;Acc:S000000171]","ENSG,ENSP"
"YLR204W","P32344","QRI5","Mitochondrial inner membrane protein; required for accumulation of spliced COX1 mRNA; may have an additional role in translation of COX1 mRNA [Source:SGD;Acc:S000004194]","ENSG,ENSP"
"YDR077W","Q01589","SED1","Major stress-induced structural GPI-cell wall glycoprotein; associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites; SED1 has a paralog, SPI1, that arose from the whole genome duplication [Source:SGD;Acc:S000002484]","ENSG,ENSP"
"YHR136C","P38839","SPL2","Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm [Source:SGD;Acc:S000001178]","ENSG,ENSP"
"YLR210W","P24871","CLB4","B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation; CLB4 has a paralog, CLB3, that arose from the whole genome duplication [Source:SGD;Acc:S000004200]","ENSG,ENSP"
"YML034W","Q03707","SRC1","Inner nuclear membrane protein; highly enriched at telomeres and subtelomeric regions; functions in regulation of subtelomeric genes and is linked to TREX (transcription export) factors; SRC1 produces 2 splice variant proteins with different functions; alternative splicing of SRC1 pre-mRNA is promoted by Hub1p; mutant has aneuploidy tolerance; SEC1 has a paralog, HEH2, that arose from the whole genome duplication [Source:SGD;Acc:S000004497]","ENSG,ENSP"
"YPR188C","Q06580","MLC2","Regulatory light chain for the type II myosin Myo1p; binds to an IQ motif of Myo1p, localization to the bud neck depends on Myo1p; involved in the disassembly of the Myo1p ring [Source:SGD;Acc:S000006392]","ENSG,ENSP"
"YJR135W-A","P57744","TIM8","Mitochondrial intermembrane space protein; forms a complex with Tim13p that delivers a subset of hydrophobic proteins to the TIM22 complex for inner membrane insertion; homolog of human TIMM8A, implicated in Mohr-Tranebjaerg syndrome, also known as deafness-dystonia-optic neuronopathy (DDON) syndrome; human TIMM8A can complement yeast null mutant [Source:SGD;Acc:S000007348]","ENSG,ENSP"
"YDR161W","Q03771","ACL4","Specific assembly chaperone for ribosomal protein Rpl4p; binds to an evolutionarily conserved surface extension of nascent Rpl4p and chaperones Rpl4p until its assembly into the pre-ribosome; transcriptionally co-regulated with rRNA and ribosome biosynthesis genes [Source:SGD;Acc:S000002568]","ENSG,ENSP"
"YHR030C","Q00772","SLT2","Serine/threonine MAP kinase; coordinates expression of all 19S regulatory particle assembly-chaperones (RACs) to control proteasome abundance; involved in regulating maintenance of cell wall integrity, cell cycle progression, nuclear mRNA retention in heat shock, septum assembly; required for mitophagy, pexophagy; affects recruitment of mitochondria to phagophore assembly site; plays role in adaptive response of cells to cold; regulated by the PKC1-mediated signaling pathway [Source:SGD;Acc:S000001072]","ENSG,ENSP"
"YDL122W","P25037","UBP1","Ubiquitin-specific protease; removes ubiquitin from ubiquitinated proteins; cleaves at the C terminus of ubiquitin fusions irrespective of their size; capable of cleaving polyubiquitin chains [Source:SGD;Acc:S000002280]","ENSG,ENSP"
"YDR329C","P28795","PEX3","Peroxisomal membrane protein (PMP); required for proper localization and stability of PMPs; anchors peroxisome retention factor Inp1p at the peroxisomal membrane; interacts with Pex19p [Source:SGD;Acc:S000002737]","ENSG,ENSP"
"YBR131W","P38273","CCZ1","Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex, which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy, the CVT pathway and mitophagy [Source:SGD;Acc:S000000335]","ENSG,ENSP"
"YLR439W","P36517","MRPL4","Mitochondrial ribosomal protein of the large subunit; homolog of prokaryotic L29 ribosomal protein; located at the ribosomal tunnel exit [Source:SGD;Acc:S000004431]","ENSG,ENSP"
"YBL041W","P23724","PRE7","Beta 6 subunit of the 20S proteasome [Source:SGD;Acc:S000000137]","ENSG,ENSP"
"YNL175C","P53883","NOP13","Nucleolar protein found in preribosomal complexes; contains an RNA recognition motif (RRM); relative distribution to the nucleolus increases upon DNA replication stress [Source:SGD;Acc:S000005119]","ENSG,ENSP"
"YOR370C","P32864","MRS6","Rab escort protein; forms a complex with the Ras-like small GTPase Ypt1p that is required for the prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p); sequence similarity to mammalian choroideraemia gene; relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000005897]","ENSG,ENSP"
"YKL043W","P36093","PHD1","Transcriptional activator that enhances pseudohyphal growth; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; regulates expression of FLO11, an adhesin required for pseudohyphal filament formation; similar to StuA, an A. nidulans developmental regulator; potential Cdc28p substrate; PHD1 has a paralog, SOK2, that arose from the whole genome duplication [Source:SGD;Acc:S000001526]","ENSG,ENSP"
"YFR044C","P43616","DUG1","Cys-Gly metallo-di-peptidase; forms a complex with Dug2p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p); human homolog CNDP2 can complement yeast dug1 mutant [Source:SGD;Acc:S000001940]","ENSG,ENSP"
"YCL034W","P25369","LSB5","Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p, ubiquitin, Arf3p to couple actin dynamics to membrane trafficking processes; similar structure to GGA family of proteins with N-terminal VHS domain and GAT domain; binds Las17p, which is homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly, actin polymerization; may mediate disassembly of Pan1 complex from endocytic coat [Source:SGD;Acc:S000000539]","ENSG,ENSP"
"YNL241C","P11412","ZWF1","Glucose-6-phosphate dehydrogenase (G6PD); catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidative stress; protein abundance increases in response to DNA replication stress; homolog of human G6PD which is deficient in patients with hemolytic anemia; human G6PD can complement yeast zwf1 null mutant [Source:SGD;Acc:S000005185]","ENSG,ENSP"
"YOR187W","P02992","TUF1","Mitochondrial translation elongation factor Tu (EF-Tu); involved in fundamental pathway of mtDNA homeostasis; comprises both GTPase and guanine nucleotide exchange factor activities, while these activities are found in separate proteins in S. pombe and humans; rare mutations in human mitochondrial elongation factor Tu (EFTu) associated with severe lactic acidosis, rapidly progressive fatal encephalopathy, severe infantile macrocystic leukodystrophy with micropolygyria [Source:SGD;Acc:S000005713]","ENSG,ENSP"
"YDR449C","Q02354","UTP6","Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA [Source:SGD;Acc:S000002857]","ENSG,ENSP"
"YPL124W","P33419","SPC29","Inner plaque spindle pole body (SPB) component; links the central plaque component Spc42p to the inner plaque component Spc110p; required for SPB duplication [Source:SGD;Acc:S000006045]","ENSG,ENSP"
"YOL148C","P50875","SPT20","Subunit of the SAGA transcriptional regulatory complex; involved in maintaining the integrity of the complex; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay [Source:SGD;Acc:S000005508]","ENSG,ENSP"
"YPR160W","P06738","GPH1","Glycogen phosphorylase required for the mobilization of glycogen; non-essential; regulated by cyclic AMP-mediated phosphorylation; phosphorylation by Cdc28p may coordinately regulate carbohydrate metabolism and the cell cycle; expression is regulated by stress-response elements and by the HOG MAP kinase pathway [Source:SGD;Acc:S000006364]","ENSG,ENSP"
"YDL185W","P17255","VMA1","Subunit A of the V1 peripheral membrane domain of V-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI), which is a site-specific endonuclease; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner [Source:SGD;Acc:S000002344]","ENSG,ENSP"
"YLR018C","Q12445","POM34","Subunit of the transmembrane ring of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis and spindle pole body duplication [Source:SGD;Acc:S000004008]","ENSG,ENSP"
"YBR038W","P14180","CHS2","Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis; phosphorylation by Dbf2p kinase regulates its dynamics and chitin synthesis during cytokinesis [Source:SGD;Acc:S000000242]","ENSG,ENSP"
"YJL061W","P40368","NUP82","Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup159p, and Nup116p); relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000003597]","ENSG,ENSP"
"YBR029C","P38221","CDS1","Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthesis of all major yeast phospholipids; human homolog CDS1 can complement yeast cds1 null mutant [Source:SGD;Acc:S000000233]","ENSG,ENSP"
"YJL039C","P47054","NUP192","Essential subunit of inner ring of nuclear pore complex (NPC); plays a role in modulating transport through the NPC; homologous to human NUP205 [Source:SGD;Acc:S000003576]","ENSG,ENSP"
"YOR018W","Q02805","ROD1","Alpha-arrestin involved in ubiquitin-dependent endocytosis; activating dephosphorylation relays glucose signaling to transporter endocytosis; calcineurin dephosphorylation is required for Rsp5p-dependent internalization of agonist-occupied Ste2p, as part of signal desensitization; recruits Rsp5p to Ste2p via its 2 PPXY motifs; protein abundance increases in response to DNA replication stress; ROD1 has a paralog, ROG3, that arose from the whole genome duplication [Source:SGD;Acc:S000005544]","ENSG,ENSP"
"YIL115C","P40477","NUP159","FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport; regulates ADP release from the ATP-dependent RNA helicase Dbp5p; forms a stable association with Nup82p, Gle2p and two other FG-nucleoporins (Nsp1p and Nup116p) [Source:SGD;Acc:S000001377]","ENSG,ENSP"
"YHR114W","P38822","BZZ1","SH3 domain protein implicated in regulating actin polymerization; able to recruit actin polymerization machinery through its SH3 domains; colocalizes with cortical actin patches and Las17p; interacts with type I myosins [Source:SGD;Acc:S000001156]","ENSG,ENSP"
"YDR012W","P49626","RPL4B","Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication [Source:SGD;Acc:S000002419]","ENSG,ENSP"
"YKL168C","P36004","KKQ8","Putative serine/threonine protein kinase with unknown cellular role; KKQ8 has a paralog, HAL5, that arose from the whole genome duplication [Source:SGD;Acc:S000001651]","ENSG,ENSP"
"YDR497C","P30605","ITR1","Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog, ITR2, that arose from the whole genome duplication [Source:SGD;Acc:S000002905]","ENSG,ENSP"
"YLR070C","Q07993","XYL2","Xylitol dehydrogenase; converts xylitol to D-xylulose; expression induced by xylose, even though this pentose sugar is not well utilized by S. cerevisiae; null mutant has cell wall defect [Source:SGD;Acc:S000004060]","ENSG,ENSP"
"YGR010W","P53204","NMA2","Nicotinic acid mononucleotide adenylyltransferase; catalyzes the transfer of the adenylyl moiety of ATP to nicotinamide mononucleotide to form NAD; involved in de novo and salvage synthesis of NAD(+); homolog of human NMNAT; NMA2 has a paralog, NMA1, that arose from the whole genome duplication [Source:SGD;Acc:S000003242]","ENSG,ENSP"
"YDL169C","P32772","UGX2","Protein of unknown function; transcript accumulates in response to any combination of stress conditions [Source:SGD;Acc:S000002328]","ENSG,ENSP"
"YKL067W","P36010","YNK1","Nucleoside diphosphate kinase; catalyzes the transfer of gamma phosphates from nucleoside triphosphates, usually ATP, to nucleoside diphosphates by a mechanism that involves formation of an autophosphorylated enzyme intermediate; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001550]","ENSG,ENSP"
"YKL207W","P36039","YKL207W","Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; required for respiratory growth; null mutant displays induction of the unfolded protein response; homologous to worm Y62E10A.10/EMC-3, fly CG6750, human TMEM111 [Source:SGD;Acc:S000001690]","ENSG,ENSP"
"YLR208W","Q04491","SEC13","Structural component of 3 complexes; subunit of the Nup84p nuclear pore subcomplex that contributes to nucleocytoplasmic transport and NPC biogenesis; subunit of the COPII vesicle coat required for ER-to-Golgi transport; subunit of SEACAT, a subcomplex of the coatomer-related, vacuolar-associated SEA complex, that inhibits the TORC1 inhibitory role of SEACIT (Iml1p-Npr2p-Npr3p), a GAP for Gtr1p, thereby resulting in activation of TORC1 signaling; human SEC13 homolog [Source:SGD;Acc:S000004198]","ENSG,ENSP"
"YKL014C","P34241","URB1","Protein required for the normal accumulation of 25S and 5.8S rRNAs; nucleolar protein; associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit [Source:SGD;Acc:S000001497]","ENSG,ENSP"
"YBR089W","P38252","YBR089W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30 [Source:SGD;Acc:S000000293]","ENSG,ENSP"
"YPR079W","Q06815","MRL1","Membrane protein; has similarity to mammalian mannose-6-phosphate receptors; possibly functions as a sorting receptor in the delivery of vacuolar hydrolases; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000006283]","ENSG,ENSP"
"YGL257C","P53059","MNT2","Mannosyltransferase; involved in adding the 4th and 5th mannose residues of O-linked glycans [Source:SGD;Acc:S000003226]","ENSG,ENSP"
"YOL065C","Q08227","INP54","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase; role in secretion; localizes to the endoplasmic reticulum via the C-terminal tail; lacks the Sac1 domain and proline-rich region found in the other 3 INP proteins [Source:SGD;Acc:S000005426]","ENSG,ENSP"
